3.26E-10,8.33E-10,3.20E-10,4.84E-10,2.86E-10,3.41E-10,7.46E-10,5.03E-10,5.60E-10,3.28E-10,4.73E-10,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00014026,8.42E-05,3.26E-10
-8.70E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.379,-22.427,-8.70E-05
-7.61E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.699,-19.619,-7.61E-05
-6.52E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.019,-16.811,-6.52E-05
-5.43E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.335,-14.001,-5.43E-05
-4.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.615,-11.169,-4.33E-05
-2.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,12.655,-7.5933,-2.95E-05
-1.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4115,-4.4469,-1.72E-05
-8.61E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6971,-2.2183,-8.61E-06
2.86E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012286,7.37E-05,2.86E-10
2.36E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010138,6.08E-05,2.36E-10
8.64E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7132,2.2279,8.64E-06
1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4236,4.4542,1.73E-05
2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.13,6.6781,2.59E-05
3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.839,8.9032,3.45E-05
4.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.545,11.127,4.31E-05
5.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.262,13.357,5.18E-05
6.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.985,15.591,6.05E-05
6.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.725,17.835,6.92E-05
7.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.458,20.075,7.79E-05
8.65E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.178,22.307,8.65E-05
8.65E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.181,22.309,8.65E-05
7.78E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.436,20.062,7.78E-05
