1.70E-11,1.49E-11,3.35E-11,3.59E-11,1.39E-11,1.98E-11,2.73E-11,1.96E-11,1.31E-11,2.03E-11,2.15E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00E+00,0.00E+00,1.70E-11
1.06E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,1.06E-11
1.92E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,1.92E-11
3.32E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,3.32E-11
1.71E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,1.71E-11
5.59E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,5.59E-11
3.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,3.35E-11
1.52E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.52E-11
3.69E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,3.69E-11
2.83E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.83E-11
6.74E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,6.74E-11
4.78E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,4.78E-11
2.57E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,2.57E-11
1.50E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,1.50E-11
1.83E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,1.83E-11
2.24E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,2.24E-11
1.40E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,1.40E-11
1.28E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,1.28E-11
2.75E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,2.75E-12
1.51E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,1.51E-11
1.84E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,1.84E-11
1.90E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,1.90E-11
2.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.55E-11
3.32E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,3.32E-11
1.59E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,2.59E+00,1.59E-11
2.52E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.52E-11
1.61E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,1.61E-11
3.85E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.50E-01,6.50E-01,3.85E-11
4.44E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,4.44E-11
4.82E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.47E-01,-6.47E-01,4.82E-11
2.52E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.52E-11
2.72E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.72E-11
2.32E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,2.32E-11
2.88E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.88E-11
3.04E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,3.04E-11
2.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,2.39E-11
3.13E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.17E+00,-5.17E+00,3.13E-11
2.31E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.81E+00,-5.81E+00,2.31E-11
2.60E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,2.60E-11
1.25E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,1.25E-11
1.81E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,1.81E-11
9.72E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,9.72E-12
4.64E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,4.64E-11
