4.55E-13,1.70E-13,2.44E-13,3.00E-13,4.72E-13,3.12E-13,3.91E-13,-2.77E-11,1.47E-12,1.12E-12,-2.28E-12,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.95E-07,1.17E-07,4.55E-13
-2.69E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.16E-07,-6.93E-08,-2.69E-13
-3.43E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.47E-07,-8.84E-08,-3.43E-13
-5.30E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.27E-07,-1.36E-07,-5.30E-13
-5.02E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.15E-07,-1.29E-07,-5.02E-13
-5.61E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.41E-07,-1.44E-07,-5.61E-13
-6.97E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.00E-07,-1.80E-07,-6.97E-13
-6.70E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.88E-07,-1.73E-07,-6.70E-13
-7.08E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.04E-07,-1.82E-07,-7.08E-13
-7.85E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.37E-07,-2.02E-07,-7.85E-13
-8.73E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.75E-07,-2.25E-07,-8.73E-13
-9.30E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.00E-07,-2.40E-07,-9.30E-13
-9.63E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.14E-07,-2.48E-07,-9.63E-13
-1.04E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.48E-07,-2.69E-07,-1.04E-12
-1.05E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.51E-07,-2.71E-07,-1.05E-12
-1.12E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.83E-07,-2.90E-07,-1.12E-12
-1.14E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.91E-07,-2.95E-07,-1.14E-12
-1.13E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.85E-07,-2.91E-07,-1.13E-12
-1.30E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.59E-07,-3.35E-07,-1.30E-12
-1.34E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.73E-07,-3.44E-07,-1.34E-12
-1.34E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.75E-07,-3.45E-07,-1.34E-12
-9.52E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.08E-07,-2.45E-07,-9.52E-13
-2.91E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.24E-07,-7.47E-08,-2.91E-13
-2.99E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.28E-07,-7.70E-08,-2.99E-13
-1.47E-13,,,,,,,,,,,,,,,,,,,,,,,,,,7.69E-08,-3.79E-08,-1.47E-13
-7.66E-14,,,,,,,,,,,,,,,,,,,,,,,,,,7.22E-08,-1.98E-08,-7.66E-14
6.10E-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.18E-07,1.58E-08,6.10E-14
2.90E-14,,,,,,,,,,,,,,,,,,,,,,,,,,7.62E-08,7.48E-09,2.90E-14
1.69E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.21E-07,4.37E-08,1.69E-13
1.73E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-07,4.47E-08,1.73E-13
2.42E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.11E-07,6.23E-08,2.42E-13
3.00E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.31E-07,7.71E-08,3.00E-13
